,shipment_id,send_timestamp,pick_up_point,drop_off_point,source_country,destination_country,freight_cost,gross_weight,shipment_charges,shipment_mode,shipping_company,selected,shipping_time
0,S000720,2019-06-08 07:17:51,A,Y,GB,IN,88.61,355,0.75,Air,SC3,Y,5.00741
1,S000725,2019-07-12 15:23:21,A,Y,GB,IN,85.65,105,0.9,Ocean,SC1,Y,21.41215
2,S000736,2019-10-04 14:23:29,A,Y,GB,IN,86.22,100,0.75,Air,SC3,Y,5.33692
3,S000738,2020-01-07 09:19:50,A,Y,GB,IN,94.43,1071,1.05,Air,SC2,Y,5.14792
4,S000739,2020-04-11 06:36:03,A,Y,GB,IN,94.24,2007,0.75,Air,SC3,Y,5.03067
5,S001718,2019-05-27 11:53:23,A,Y,GB,IN,87.84,228.7,0.75,Air,SC3,Y,5.18611
6,S001720,2019-06-08 07:46:01,A,Y,GB,IN,89,119,0.75,Air,SC3,Y,5.2206
7,S001736,2019-10-04 14:26:08,A,Y,GB,IN,86.7,65,0.9,Ocean,SC1,Y,11.01481
8,S001737,2019-11-20 12:26:32,A,Y,GB,IN,92.31,114,0.75,Air,SC3,Y,5.33322
9,S001738,2020-01-07 09:22:17,A,Y,GB,IN,94.65,1071,0.75,Air,SC3,Y,5.26968
10,S001739,2020-04-11 06:49:41,A,Y,GB,IN,94.83,1005,1.05,Air,SC2,Y,5.06424
11,S002728,2019-08-02 15:02:32,A,Y,GB,IN,83.56,400,0.9,Ocean,SC1,Y,21.26759
12,S002737,2019-11-20 13:03:14,A,Y,GB,IN,92.1871,168,0.9,Ocean,SC1,Y,30.43912
13,S003706,2019-03-08 10:42:00,A,Y,GB,IN,91.47,405,0.9,Ocean,SC1,Y,9.45833
14,S003718,2019-05-27 11:56:07,A,Y,GB,IN,87.9,232.5,0.9,Ocean,SC1,Y,19.97303
15,S003720,2019-06-08 08:45:03,A,Y,GB,IN,88.84,235,1.05,Air,SC2,Y,5.13484
16,S003736,2019-10-04 14:29:25,A,Y,GB,IN,86.84,100,0.75,Air,SC3,Y,5.04653
17,S004718,2019-05-27 11:57:06,A,Y,GB,IN,87.9,177,0.9,Ocean,SC1,Y,19.97986
18,S004723,2019-06-30 14:04:46,A,Y,GB,IN,87.92,295,0.9,Ocean,SC1,Y,20.86644
19,S004736,2019-10-04 14:31:44,A,Y,GB,IN,86.79,100,1.05,Air,SC2,Y,5.05093
20,S004739,2020-04-11 11:23:19,A,Y,GB,IN,94.09,1005,0.75,Air,SC3,Y,5.21968
21,S005734,2019-09-06 18:07:54,A,Y,GB,IN,87.65,200,0.9,Ocean,SC1,Y,32.55486
